instrumento,bjd,vrad,svrad
HIRES,2454675.9714273326,84.53,1.67
HIRES-post04,2454838.740887751,76.36,1.157134
HIRES,2454838.743859535,75.96,1.68
HIRES-post04,2455048.954629569,3.84,1.712458
HIRES,2455109.7459158474,95.22,2.07
HIRES-post04,2455109.7502246476,88.38,1.697354
HIRES-post04,2455189.6886189654,-40.16,1.497515
HIRES,2455189.690486811,-39.87,1.76
HIRES,2455427.094876255,83.55,1.94
HIRES-post04,2455427.0998273543,85.41,1.461379
HIRES,2455729.0878440095,-27.1,1.73
HIRES-post04,2455729.089138117,-24.0,1.709369
HIRES,2455731.097450211,-12.1,1.96
HIRES-post04,2455731.0989153315,-6.84,1.567261
HIRES,2455782.8590975436,93.14,2.0
HIRES-post04,2455782.8637837083,84.58,1.515308
HIRES,2456207.729948084,-78.46,2.02
HIRES-post04,2456207.7341478784,-85.56,1.63497
HIRES,2456529.787968272,68.92,1.88
HIRES-post04,2456529.793032335,69.33,1.572205
HIRES-post04,2456638.742904266,11.94,1.610608
HIRES,2456638.743755191,11.68,1.88
HIRES,2456889.069682955,28.13,2.0
HIRES-post04,2456889.074659049,29.46,1.486097
HIRES-post04,2457211.1363684293,39.17,1.511742
HIRES-post04,2457265.8352420637,-34.12,1.611244
HIRES-post04,2457586.014977357,-88.94,1.552778
HIRES-post04,2457910.0317550506,-74.57,1.535106
HIRES-post04,2458118.689173571,-40.98,1.56117
HIRES-post04,2458301.135608788,-68.43,1.667155
HIRES-post04,2458490.7184034446,34.0,1.457774
HIRES-post04,2458739.013800681,-58.14,1.540281
